text	category
Song kollam ...but dance aru boru...	Mixed_feelings
shuger raja fance onnu virachu alle.ithokke endh varan pokunnathanu mone pooram	Negative
17K views and 112k likes in 90 minutes?	not-malayalam
Mamangathil Mammootty’s character name ariyano makkale ???   It’s Kunjali Marakar.	unknown_state
Ikkante dialoge alla ethu ambilada sounda	unknown_state
Netflix le oru series nte trailer kanda Pole und	unknown_state
Kayamkulam kochunnila nayakan lalettan allallo but kayyadi muzhuvanum kond poi...marana masss intro	Positive
ഇക്കാ..ഇക്കാ...എന്റെ ചുവന്ന ഷഡി  കണ്ടാ   Salim Kumar.jpg  അപ്പോഴാ അവൾടെ മൂക്കുത്തി...ഓഡ്രി	unknown_state
ഞാൻ പാത്തൻ സെമ്മ ജയം എന്ന സിനിമ കണ്ടിട്ടേയുള്ളൂ രവി സെമ്മ അഭിനയം പക്ഷെ മാസ്സ് ഹീറോ എന്തിനാ ഇങ്ങനെ തോന്നുന്നത്????	Negative
Aaahnjonnu mukiyal theeravunna presnam ullu ellathinum	unknown_state
എല്ലാവരും  കുമ്പളങ്ങിയിൽ   സൂപ്പർ സിനിമ ...ഫ്രാങ്കി .ബോണി .ബോബി .സജി നല്ല ആക്ടിങ്	Positive
Ithu endhaa igane views kuranju varunathu	unknown_state
Koreye naalayi adi padam kandit..	unknown_state
Jayamravi fans selam.. Ungalallavarum mammooty sir k support pannungo.. Mammooty sir. Great fans selam jayamravi fans	not-malayalam
10M adikkum ennullavar aadhyam like onn adiche	unknown_state
Malayalam cinema innevare vannathil vachu ettavum mighacha trailer	Positive
KATTA WAITING...   LIKE CHEYYYYY	Positive
Theoteril ninn irangiya oru feel...enikk maathramaano!	Positive
I'm waiting for the kunjali marikkar	not-malayalam
മൂക്കുത്തി കണ്ടില്ലന്നു..  മുഖ്യമന്ത്രി രാജി വെക്കുക	unknown_state
Vada - superb   Love from Tamil Nadu	not-malayalam
ഇത് ഏത് കൊറിയൻ കോപ്പിയാണ് .... നമുക്ക് പഴയ വിൻഡോകളിൽ ബീഥോവൻ സിംഫണില പാ സംഗീതം കേൾക്കാം	Negative
Ikka muthaanuuu...luv uuubut rajuetta ningale miss cheyyunnu	Positive
physco ഷംമിക്കു ശേഷം പുതിയഅവതാരം .................രവി... physco രവി	Positive
ഞാൻ ട്രോൾ കണ്ടു വന്നതാ, മാസ്സ് സിനിമ എന്ന ട്രോൾ ആരുന്നു, എന്തായാലും all the best team PMJ	Positive
വാദി വാ ആഗസ്റ്റ് മോൻവ നിങ്ങൾക്ക് ഒരു വലിയ വെഡ്ജ് ഉണ്ട്	Negative
മൂക്കുത്തി കണ്ടില്ല മോളേ, പക്ഷെ ബാക്കിയെല്ലാം കണ്ടു.	unknown_state
കാല ക്രമേണ making രീതി മാറി മാറി വരുവാണ്	unknown_state
Enteeee moooone kidu kidu last aah adi kandappoo killi poi angna poyavarkk lik adikaaanulla sthalam	Positive
Kodukke makkalllee ikkakkee oru like	unknown_state
കെ ജി എഫിന്റെ പ്രേതം കേറിയതാണോ BGM ഉം ഡയലോഗ്സം	Mixed_feelings
സച്ചിയുടെ script നല്ല കഥ കിട്ടിയാൽ making കൊണ്ട് വേറെ ലെവൽ ആകുന്ന jean paulinte direction  വ്യത്യസ്ത സിനിമകൾ മാത്രം നോക്കി നിർമിക്കുന്ന രാജുവേട്ടനും ലിസ്റ്റിനും  അഭിനയിക്കാൻ പറഞ്ഞാൽ  ജീവിച്ചു കാണിക്കുന്ന രാജുവേട്ടനും സുരാജേട്ടനും  ഇത്രയും പോരെ ഈ സിനിമയ്ക്കു ticket edukan	Positive
ചതിച്ചു.. ആശാനേ.. ഇക്കയെ വീണ്ടും... പാട്ടു സീൻ കണ്ടപ്പോഴേ പടത്തിന്റെ ലെവൽ മനസിലായി... തോൽക്കാൻ ഇനിയും ജന്മങ്ങൾ ബാക്കി.. മടങ്ങി പോ മക്കളെ	unknown_state
Lalettaa!!! Raju chettai. .. such a promising trailer!!!  RONJAAAMAM!!!!	Positive
ഇളയരാജ സാർ....ബീഥോവൻ മ്യൂസിക് ആഹ് താങ്കളുടെ സിനിമയിൽ ഇട്ടിട്ടുണ്ട്....അടുപ്പമില്ലാത്തവൻ ഇത് ചെയ്യും...സാർ പറഞ്ഞോ?	Negative
0:54 to 0:57  ഇത് മാത്രം ഒഴിവാക്കിയിരുന്നെങ്കിൽ നന്നായിരുന്നു	Mixed_feelings
@നന്ദി പാർത്ഥസാരഥി ഹൽക്കട്ട് ബോസുഡി	Negative
ഇപ്ഡി താ രാവണ പടം ട്രെയിലർ ഗെതു മാതിരി ഇരുന്തുചു ലാസ്റ്റ് ലാ എന്ന ആച്ചു നു തമിഴ് നാട്ടുകേയ് തെറിയും....ഇന്താ പടവും അപ്ഡി ഇല്ലാമാ ഇരുന്ത ശരി താ...നീല സാട്ടായി ഇനി ഐടുപാപ്ല	Negative
ചരിത്ര പ്രാധാന്യം ഉള്ള സിനിമ എടുക്കുബോൾ ഇതേ പോലുള്ള മൂഞ്ചിയ പാട്ടുമായി വന്നോളും.  കുറേ പെണ്ണുങ്ങൾ എല്ലാം ഇളക്കി  കാണിച്ചോണ്ട് ഡാൻസും, കായംകുളം കൊച്ചുണ്ണിയിലും ഉണ്ടായിരുന്നു ഇതേ പോലെ ഒരുത്തി.  എന്തെങ്കിലും പറഞ്ഞാൽ ഫെമിനിച്ചി തള്ളമാർ തള്ളുമായി ഇറങ്ങും.	Negative
ഇന്ത്യൻ സിനിമയുടെ താര ചക്രവർത്തി...! ഇതിഹാസ താരം മെഗാ സ്റ്റാർ...മമ്മൂട്ടി...ഒരുങ്ങി കഴിഞ്ഞു ചാവേറിന്റെ  മാമാങ്കത്തിനായ് ...!!!	Positive
Ee padam vijayikkumennu urappulavar like button adichu pottik	unknown_state
ട്രെയിലർ എല്ലാം നന്നായിട്ടുണ്ട്	Negative
Fahadh ikkayum shine um dileesh ettananum soubikkayum	unknown_state
ഒരു ഫിലിം 9000 ചന്ദോർ ബാർ ഗ്രെഗി കാവൽ ഇന്ത്യ മി ഡബിൾ ബ്ലോക്ക്ബസ്റ്റർ സിനിമകൾ ദുബാൻ ആ ജയക തിയേറ്റർ മി	Negative
Mammuka happy birthday stay blessed live long padam pollikum nammal kallakum🤩	Positive
മൂക്കുത്തി എടുത്തോണ്ട് പോയ ഏത് മലരൻ ആയാലും മര്യാദക്ക് തിരിച്ചു കൊടുത്തോ.. ഇല്ലേൽ ചാവേറുകൾ ഇറങ്ങും.. തല കൊയ്യും എല്ലാത്തിന്റെയും.	Negative
നിവിൻ ചേട്ടന്റെ carrier best performance   കട്ട വെയ്റ്റിംഗ് ഫോർ രാജീവ് രവി ഫ്രെയിംസ്	Positive
ആ മെലിഞ്ഞ പയ്യൻ റാട്ടോയിൽ കാർട്ടൂണിലെ ഈ ആഴ്‌ചയിലെ ഷെഫിനെപ്പോലെയാണ്.. ഒന്ന് അന്വേഷിക്കൂ.	Negative
അണ്ണാ നിം ഇ വെഡിയോ നോഡിനു മാത്തേ ചൈന ആപ്പുകൾ ഉപയോഗിക്കുക മാദിദ്രേ...നിജക്കു അവർ മര്യാദേ സ്വാഭിമാൻ ഇൽദോരു ഭരത ദല്ലി ഇർബർഡൂ ....അന്തവ്രനെല്ല നിംഹങ്കേ മര്യാദേ തേഗിബെക്കു.....	Negative
Trailer pole naalla story undayal mathiyarinu	Positive
Ha ha ha ha ha ha ha avide ano evide ano moookuuuthi	unknown_state
കമന്റ് മൈര മാത്രം നല്ലത് അല്ലെങ്കിൽ റോഷാപ്പ് പുണ്ടയാ! എന്നാൽ അദ്ദേഹത്തിന്റെ സഖ്യത്തിന് വോട്ട് ചെയ്യുക.	Negative
Kandu pinnum kandu veendum kandu sheham kandu ippol kandu ithu kazhinuu kandu	Positive
മലയാളത്തിന് നല്ല ഒരു thriller ഉണ്ടാകട്ടെ എന്ന് പ്രതീക്ഷിക്കാം..... After memories.. .. അഞ്ചാം പാതിരാ..  Bgm	Positive
കണ്ടിട്ടും കണ്ടിട്ടും മതി ആകാത്ത ട്രയ്ലർ	Positive
avan Varum ente Makan Madhura Raja....	unknown_state
മഞ്ജു ചേച്ചി കലക്കി......മലയാള സിനിമയിലെ എക്കാലത്തെയും മികച്ച നടിമാരികരിൽ ഒരാൾ ....ജീവിതത്തിൽ നേരിട്ട അഗ്നിപരീക്ഷകളെ  തന്റേടം കൊണ്ട്  അതിജീവിച്ചു നിശ്ചയദാട്യം ഒന്ന് കൊണ്ട് മാത്രം വീണ്ടും വിജയത്തിന്റെ അത്യുന്നതിയിലേക്ക്  നടന്നടുത്ത പ്രീയ മഞ്ജു ചേച്ചി.....	Positive
Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo	Negative
ഇതിന്റെ trailer ഞാൻ മാമാങ്കം കാണാൻ പോയപ്പോ കാണിച്ചിരുന്നു	unknown_state
ഒരു തവണ ഞാൻ ഈ സിനിമ കണ്ടു. ഇനി ഫാമിലിയായി ചെന്ന് ഒരു തവണ കൂടി കാണണം, സൂപ്പർ സിനിമ ....	Positive
Mowaye ബ്ലബ് പോലെ ബ്ലബ് ബ്ലബ് ബ്ലബ് ബ്ലബ് ബ്ലബ്	Negative
Thelungu film bahubali release cheythappol ithu pole puchamundayirunnilla. Malayalathil anganonnu varumbol abimanam thonnunnathinu pakaram athine puchikkuka. Ithanu malayalikalude swabavam. Kanunnathinu mumbe vilayiruthal kazhinju.	Positive
ട്രെയിലർ ഐ ഇവലോ സ്ലോ നാ അപ്പ മൂവി?	Negative
H നല്ല ഗ്രാഫിക്‌സ് പക്ഷെ മോഹൻലാൽ തീട്ടം ഡയലോഗ് പ്രസന്റഷൻ ആയി പോയി...	Mixed_feelings
Vere level padorikkum location nummadavidernnu padam pwalikkum muttheee shane ikka nummada chukaanu	Positive
ഞാൻ കാർട്ടൂണുകൾ കാണാൻ പോകുന്നു	Negative
കരയണ്ട,  ആ  മൂക്കുത്തി എന്റെ കയ്യിൽ കിട്ടിയിട്ടുണ്ട്... വന്നു വാങ്ങിച്ചോളൂ	unknown_state
മാമാങ്കം എന്ന കേരളത്തിന്റെ ചരിത്രം, മലയാളികൾ തീർച്ചയായും കണ്ടിരിക്കേണ്ട സിനിമക്ക് ശേഷം, കൊടും പലിശക്കാരൻ ആയ ഷൈലോക്കിനു വേണ്ടി കാത്തിരിക്കുന്നു	Positive
Ingane Ulla vesham onnu lalappan nadakilla	Negative
എനിക്ക് പേടിയാണ്, എന്താണ് വിഷത്തിന്റെ മണം ??	Negative
Woooow.....  from Sri Lanka	not-malayalam
Oru mazhathil okke thalledo commentolikale  Padam irangatte vijayikkatte	unknown_state
@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs irbahudh... എന്നാൽ അവ്ൻ മുണ്ടേ നീ യവതിദ്രു ബച്ചാ.. nnNenp idkodliodh nondh അധ്ന ബിട്ടു അവ്ൻ ഹീറോ ഇവൻ ബച്ച അൻബേഡ. നാൻ ദർശൻ ഫാൻ സുധീപ് ഫാൻ യഷ് ഫാൻ രക്ഷിത് ഷെട്ടി കന്നഡ നടൻ എല്ലാർ ഫാൻ..അവർ യാരോ ഒബ്ബനിന്ദ കന്നഡ ഫിലിം ബെല്യാൽ കാണലേ..	Negative
Wow   super look Mammookka	Positive
Prithivraj koodi undayirunnel vere level aayene	Mixed_feelings
ഇതിപ്പോ after effectil പൂണ്ടു വിളയാടിയ ടീസർ ആണല്ലോ	unknown_state
Onnamathee dukammm tadi illa ennayrrkumm Allkil nokikoo padam irangy kazinjtee nokikoo	unknown_state
Rajayum pillerum stronga fourble strong waiting madhuraraja	Positive
Woowww jojoooo gorge Nyla  chembannnn	Positive
കമെന്റ് വായിച്ചിരിന്നു സോങ് കാണാൻ പറ്റീല...... ഇജ്ജാതി കമെന്റ്	unknown_state
Troll videos വേണ്ടവര്‍ എന്റെ തലയില്‍ ഒന്ന് തൊട്ടേ	unknown_state
Dislike adicha 854 pere Amidsha de munnilitkoduk. Baki a van nokikolum	Negative
Ithu fan made aano pakshe lalettanunee veesham cheerillannu parayunnavar  ithu lalettanee cheeru	Positive
9 MILLION 10 MILLION AAVAN WAITING	Positive
Aarada dislike adikkane ethil entha kuzhappam	Negative
Panchavarnaa thatha poley oola padavaruthittaaaa pishuuu	Mixed_feelings
Dance cheyyan ariyilla ennu swayam kuttapeduthumbozhum character ath avashyapedunundenkil 100 vayass aayalum njangade ikka dance cheyum..ikka uyir...	Positive
ഇതിനക്കാളും വലിയ ഒരു നടന് ജൻമംകൊടുക്കാൻ ദൈവം തമ്പുരാന് ആവത് എണ്ടാവട്ടെ.	Positive
1:56 lalettane polle thonniyo?  joju chettan poli....	unknown_state
Fahadh fazil ആയിരുനെകിൽ vineeth നു പകരം.. കിടുക്കിയേനെ	Mixed_feelings
IAM LALETTAN fan but  Mammokka us marana mass	Positive
ഇത് എന്തോ കോളേജ് ഫെസ്റ്റിന്റെ പ്രോമോ വീഡിയോ ആണ്...അടിച്ചു മാറ്റി edit ചെയ്ത templates..	unknown_state
ithil mammookkayude mukavum shabdhavum mathrame ullu  body mattarudeyo annennu thonnunnu  entho evideyo ....	Mixed_feelings
prithiraj fans+tovino fans=lucifer  raja ....ivan ottaka vanee MONSTER..	unknown_state
Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....	unknown_state
Big love for Mammootty sir from Karnataka fans	not-malayalam
പെട്ടന്ന് കണ്ടപ്പോ നിവിൻ പോളിയെ മനസ്സിലാകാത്തവർ ഇവിടെ like	unknown_state
Kerala Police again to Malayalam screens	not-malayalam
അവസാന പോരാട്ടത്തിലേക്ക് ചക്രം ഇടുക സാഗനും യാർ കല്ലായ് വിസ്ല കുടത്ത് പേരില്ല	Negative
മറ്റെ താടികാരന് മമ്മുകേടെ ഒരു കട്ട് ഉണ്ട്..  ഇനി ഇക്ക ആവൊ???	unknown_state
Teaser  കണ്ടപ്പോ ഇത്തിരി പേടിച്ചു. പക്ഷേങ്കില്, ഇത് കിടുക്കി.	Positive
ഈ സിനിമയിൽ അഭിനയ മികവ് കൊണ്ട് ഞെട്ടിച്ചു കളഞ്ഞത് വില്ലൻ റോളിൽ വന്ന ഫഹദ് ഫാസിൽ.	Positive
2/5/2019_ samayam : 7:24pm aarokke kaanunnu trailer..	unknown_state
Ente ponnikka ingal enna monj aane	Positive
മൊക്ക പട്ടി വിജയ് ദേവിഡിയ വിജയിയെ സ്നേഹിക്കുന്നു	Negative
Mookuthi poyt inghane.. Padchone olde valla maalayun aanu poyadhengilo. ikka uiraan	unknown_state
Christianikal kidayil oru peru L U C I F E R	unknown_state
അതുകൊണ്ട് ഇട്ടിച്ചായന്റെ വക ഒരു #Sample വെടിക്കെട്ടും കൂടെ ഉണ്ട്	unknown_state
Hamboo heavy ethu vara level ettan mass ethu koduram lalettan uyir	Positive
Katta ikka fans unddegil like adi..	unknown_state
Vere level.. Eathu njangale polykkum... Ikka mass	Positive
പേട്ട Vs വിശ്വാസം പേട്ട - വിശ്വാസം പോലെ - അഭിപ്രായം	Negative
Madhuraraja trailer ishtapetta lalettan fans onn like adiche	unknown_state
Dislike adiche  jimitttan fans n	Negative
karikk trending 1 ulladtholam vere onnum avde ethan vazhiyilla	unknown_state
Thumb  nail kandappo കണ്ണെഴുതി പൊട്ടും തൊട്ട് ഓർമ വന്നു....	unknown_state
Eppozhum views koodunno ennariyan vendi varunnavar undo	unknown_state
2:40 - 2:41  mammookka കരുതിയവർ ഇവിടെ ഞെക്കികോ....	unknown_state
Trailer vere level last 30 seconds no reksa	Positive
100k like അടിക്കും എന്ന് ഉറപ്പുള്ളവർ ഉണ്ടോ	unknown_state
Ethe oru valippe padam aayirikkum ennulaavar like	unknown_state
Padam polichadukkum ennu urappanu malayalam Industry valaratte valarnnu panthalikkatte🤩	Positive
Fight okke ok.. but dialog okke entho pora enn thonni...	Mixed_feelings
Mamangam trailor kamdu madhivarathavr like adi🥰🥰	unknown_state
എത്ര തവണ കണ്ടാലും മതിവരില്ല അത്രയ്ക് ആഴത്തിൽ ഇറങ്ങിയ മൂവി ജോജു ചെമ്പൻ വിനോദ് ഏട്ടാ and നൈല ഉഷ	Positive
Vineedettante.. Paattu koodi ondankil padam kidukum	Positive
Theriyumlaa raja solruthu dhaa seyva seyyaradu mattum dha Silva	not-malayalam
ഇം വിജയ് ബാനേ... ഞങ്ങൾ ഒരിക്കലും നിരപ്പാക്കില്ല... നിങ്ങളും അങ്ങനെയായിരിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു	Negative
Ente raju etten mwthanne......rajuvattente aa voice mathi .....pinne onnnum venda ...	Positive
നിറത്തിൽ വസ്ത്രം ധരിച്ച്, കൊത്തുപണികൾ, എല്ലാ ജീവജാലങ്ങളും ഇറുകിയതും ഇറുകിയതുമാണ്	Negative
മൂക്കുത്തി നിനക്ക് ഉണ്ട് ഉണ്ട് ഞാൻ കണ്ടു  മമ്മുക്കനെ മമ്മുക്കനെ കണ്ടില്ല	unknown_state
എന്റെ ചാനൽ subscribe ചെയ്യമോ  മമ്മൂക്ക fans mathi പുതിയ ചാനൽ ആണ് മമ്മൂട്ടി only.....	unknown_state
ഇൗ മനുഷ്യൻ വിസ്മയിപ്പിക്കുന്നു അന്നും ഇന്നും ഇനി എന്നും..2019 പോലെ തന്നെ 2020 ഇക്ക ഇങ്ങ് എടുക്കുവ..	Positive
ethinu okkae dislikes adicha Prajanda kunju ghalae nighalkku uluppundo.	Negative
എന്തിന് ഭർത്താവ് അവൾക്കുവേണ്ടി പാടണം?	Negative
Unlike cheyyunnavark ennte ഹാർദ്ദവമായ നടുവിരൽ namaskaaaaaaram	Negative
Padam njan kandu super shaj polichutto	Positive
കുറേശേ തുണിയല്ലേ കാണാതായെ. ആയമ്മച്ചി എന്തോന്നാ ഈ പാടണെ	unknown_state
മാമാങ്കം  ഇൻഡസ്ടറി ഹിറ്റ്‌ ആകും എന്ന് ഉറപ്പുള്ളവർ ലൈക്‌  അടി	unknown_state
ആയിഷ ലുക്ക് ലൈക്ക്....ബോർൺ സ്റ്റാർ ഡാനി ഡാനിയൽസ്... ലൈക്ക് വാറ്റോ സമ്മതിക്കുന്നു	Negative
Ellarum oru subscribe vach thannal enikkum 1000 subscribers aavum.. 355 subscribers koodi vannal 1000 aavum.. please subscribe KnightOP gaming	unknown_state
മൂക്കുത്തി പാട്ട് ഇഷ്ടമാവാത്ത ഇക്കാ ഫാൻസ്‌ ഉണ്ടെങ്കിൽ ലൈക്ക് അടിക്കാം	unknown_state
enik mathramaano madhuraja teaserine kattilum e trailer ishtapettathu. .	unknown_state
Fahadikkane maatram pradeekshich padathin povanirikunnavar Like...	unknown_state
അതിമനോഹരമായ ഒരു സിനിമയാണ്, പക്ഷേ ഞാൻ അത് സിനിമയിൽ കണ്ടില്ല, പക്ഷേ വേദന വളരെ വേദനാജനകമാണ്	Negative
Jeevathod chernn nilkunna padangal aanu lalettanum mammokkayum cheyyendath... waiting lalattan fans	Positive
Potta song...jimmikki hitayathu kondu....mookuthi vachu paattezhuthan paranju...ini vere enthenkilumokke ayirikkum varnnathu	unknown_state
ഇത് പൊളിക്കും മ്മെടെ തൃശ്ശൂർ പടം ..... ഗഡികളെ അപ്പോ മ്മക്ക് റിലീസിന് കാണാം ......wait the big mass ........Release..............	Positive
2019 le top 7 hit dialogues..	unknown_state
Vere level trailer hype koodi varunnu lalettan and rajuvettan vere level aakki thonnunu	Positive
Nalla oru movie aakatte ith Enthina veruthe highp koottunne	Mixed_feelings
ട്രെയ്‌ലർ കഴിഞ്ഞപ്പോ തന്നെ ഒരു സിനിമ കണ്ട ഫീൽ	unknown_state
ദൈവമേ, ഇത് വളരെ വെറുപ്പുളവാക്കുന്നു	Negative
തമിഴ് സിനിമയിൽ മറ്റൊരു പുതിയ കഥയില്ല	Negative
Ithu kandittu oru puklimurukan feel thonnunnu	Mixed_feelings
ധീരയായ മഞ്ചുച്ചേച്ചിയുടെ ധീരമായ സിനമ ആവുമെന്ന് പ്രതീക്ഷിക്കുന്നു	Positive
Thallipoli!!! Fans annu paranju anthu thallipoli kandalum sammtichu kodukkam , pakshe sadarana malayali sammathichu kodukkila..  Pachukku parayam no lyrics nothing! Thani kooora	Negative
TV yil padam vanna shesham trailer kanan vannavar arokke und	unknown_state
Indha arasiyal padathukku face reaction romba mukkiyam... But suriya ku ella scenelaiyum... Ora reaction than katturaru.... Voice andha alavukku kambirama illa....	Negative
Ikkante adutha adhutha randu padanghall 100 cr clubil kayaran povum	Positive
Ramesh pisharadi aanu director ennu kettapo valippu padam aakumennu karuthi..trailer kandapo mosamakilla ennoru prithisha vannu..	Mixed_feelings
௪ വരുസമയുടെ ട്രെയിലർ ടീസർ മാത്രമേ റിലീസ് ചെയ്തിട്ടുള്ളൂ, ചിത്രത്തിന്റെ റിലീസ് കാണുക.	Negative
0:50 ... എടന വതി ദാ ചാംഗിയകേ പനുവായ് നാഗാല ഭവം ദാ	Negative
ഇതൊന്നും വേണ്ടെങ്കിൽ ആ വലിയ മനുഷ്യൻ അവിടെ ഉണ്ടാകും.	Negative
Vineeth srinivasan karanam aa kuduthal sredichennu thonune....	unknown_state
Pala bgm um ketta pole thonnunundelum kidu feel	Mixed_feelings
Ow nta bapaa...aa kaaakki shert  sleeve madakkiyulla varavu...allanu..rrrrromam yeneet ninnu...	Positive
1:39 .... bhaaki ullarakh ath punch...njangal wwe fansin ath superman punch!!!	Positive
ബാരി ഓലു നോ മക്ല	Negative
ഞാൻ കോലാകാന്തിലാണ്, മാവനെ കൊല്ലം വിടില്ല	Negative
കൈകൾ ഉയർത്തി കന്നഡ നാ തു നിൻ	Negative
Katta waiting  for Stephen echayan 🤩🤩🤩.      Odiyan mathiri akathe erunal mathiyayirunu	Positive
Uyiril Thodum Thalir Viralavane Nee  Arike Nadakkane Alayum Chudu Kattininu Koottay Naamoru Naal Kinakkudilil Chennanayu, Miru Nilavalayay Aarum….Kaanaa… Hridayatharamathil Uruki Naamannaarum Aarum Kelkkaa….Pranayajalakadha Palavuru Parayumo?… Uyiril Thodum Kulir Viralaayidaam Njan Arike Nadannidaam Alayum Chudu Kattininu Koottinayay Naamoru Naal Kinakkudilil Chennanayu, Miru Nilavalayay Aarum….Kaanaa… Hridayatharamathil Uruki Naamannaarum Aarum Kelkkaa….Pranayajalakadha Palavuru Parayumo?… Vazhiyorangal Thorum Thanalayee Padarchilla Nee Kudayay Nivarnnu Nee Novaaraathe Thoraathe Peyke Thuzhayolangal Pol Nin Kadavathonnu Thottu Njan Melle Kaattee Chillayithil Veeshane Kaare Ilayithil Peyyane Melle Theeramithilolangalolamay Nee Varoo…. Uyiril Thalodeedum Uyirayidum Naam Naamorunaal Kinakkadalil Chennayumiru Nilaanadiyay Aarum….Kaanaa… Hridayatharamathil Uruki Naamannaarum Aarum Kelkkaa….Pranayajalakadha Palavuru thudarumo?…	unknown_state
വൺസ് ഇളയരാജ സൈറ്റ് ... എന്റെ എല്ലാ മ്യൂസിക് പെർമിറ്റുകളും പുരുഷത്വമില്ലാത്തതാണ്...	Negative
മാമാങ്കം മലയാള സിനിമയെ വേറെ ലെവലിൽ എത്തിക്കും എന്നുറപ്പുള്ളവർ Like അടിക്കൂ....  മമ്മൂക്ക	Positive
എന്റെ ചാനൽ ഒന്ന് സപ്പോർട് ചെയ്യുമോ. ജൂനിയർ മണി നാദം പ്രോഗ്രാം കാണുമോ.	unknown_state
Sharukh khante Fan മൂവി ഓർമ വന്നവരുണ്ടോ	unknown_state
Kitti njangalak njagade aa pazhaya lalettane thirichu kitti	Positive
സർ, നിങ്ങൾ ഇത് വാർത്ത പോലെയാണ് പറയുന്നത്	Negative
Enna oru feel olla trailer	Positive
Kidu adar item !! From a kaataa laleetan fan	Positive
Waiting ikka  marana maass entry	Positive
Yentha.. samayam ngatt ponillalloo... .. laalettaa..	unknown_state
മറ്റൊരു ലെവൽ ട്രെയിലർ...മരണ മാസ്സ് ലുക്ക് തലൈവാ....	Negative
Mega star back in masss ikka uyir 2020 blockbuster loading	not-malayalam
Katta mammuka fans undengil ente channel onnu subscribe cheyyane	unknown_state
Amboo polichuu ikkaa pwolikum film	Positive
Super movie lalettan oru rakshella	Positive
മലയാളത്തിലെ ലേഡി സൂപ്പർ സ്റ്റാർ , അത് മഞ്ജു ചേച്ചിയ	Positive
Traileril ulla scene onum cinemayil illa......	unknown_state
Big b 2.. nu wait cheyunavarr udoo	unknown_state
Luv frm Tn🤩....tamilians give a like	not-malayalam
Kovalaji പടം theatre പോയി കാണ്ണിൽ എന്ന്  പ്രതിജ്ഞ എടുത്തിരുന്നു but ഈ പടം release ദിവസം പോയി തന്നെ കാണും	Positive
ഇഷ്ടപ്പെടരുത്	Negative
കബാലി....കാലാ...പോലെ....പരപ്പയ്യൻ കളിക്കുന്നുണ്ടായിരുന്നില്ല....സിനിമ കളിക്കില്ല....ബി കറേബിയുൾ....	Negative
പേട്ട മൂവി ലെ രജനി കാന്തിനെ കണ്ട അതെ ഫീൽ...  അതെ രോമാഞ്ചം തോന്നുന്ന cut...	Positive
Ini idikanno siree venda uruttaam kalki avatharam loaDing appo ini Fdfs	unknown_state
Mega Star inte Mega Style Kaanan Waiting ....   Love u ikkaaaa	Positive
Malayaligale kitanjitano Hindi kaariye kond vanne.... Ee penninalo Giraffe athrem height um thonnikunu	Negative
പാട്ട് പോലെ തന്നെ പടവും മൂക്ക് കുത്തതിരുന്നൽ മതിയരുന്നു ആ ഇളയരാജയെ എൽപിപ്പിച്ചു കൂടായിരുന്നോ	Negative
Super movie.. undayum illa oru andiyum illa	unknown_state
29 k Mammunni fans trailor Kandu....!	Negative
മെഗാസ്റ്റാറും സൂപ്പർസ്റ്റാറും ഇല്ലെങ്കിലും... തിയേറ്റർ പൂരപ്പറമ്പാവാൻ പോകുന്ന ഒരു വെടിക്കെട്ട് item... ജോജു ചേട്ടൻ&ചെമ്പൻ ചേട്ടൻ.... പിന്നെ മലയാളത്തിന്റെ ഒരുപിടി തീപ്പൊരി നടന്മാരും.....joshiy sir is coming back.......	Positive
ഇത് ഒരു വികാര നിർഭരമായ സിനിമയാണ്, ഈ സിനിമ തിയേറ്ററിൽ പോയി കാണാത്തതിൽ ക്ഷമിക്കണം.	Negative
ഇത് കേക്ക ബായി'നു എന്ന ഷോർട്ട് ഫിലിം കോപ്പിയാണ്	Negative
മമ്മാട്ടി വയസ്സനായി... കണ്ടാലറിയാം... ഇനിയും ഇങ്ങനെ ഉള്ള character മമ്മൂട്ടി അഭിനയിഛാൽ പെർഫെക്ഷൻ കിട്ടില്ല എന്നാണ് എന്റെ അഭിപ്രായം...	Negative
ഫഹദിന്റെ ഭാര്യായിറ്റ് അഭിനയിച്ച ചേച്ചി  ഔട്‍സ്റ്റാന്ഡിങ് ആക്ടിങ്	Positive
Super entha paraya kalum kayyokkey tharikkinu kandittu	Positive
ദ്രാവിഡ ചെന്നായ്ക്കൾ വാ തുറന്നാൽ നമ്മൾ അവരെ പുറത്താക്കും	Negative
മൂക്കുത്തി വിൽക്കാൻ ഉണ്ടേ. കണ്ടിലെങ്കിൽ ഇബിടെ വാങ്ങാട്ടോ	unknown_state
കൊള്ളാം പക്ഷെ ചില ഡയലോഗ്സ് ഉം സീൻസും സീരിയൽ പോലെ തോന്നുന്നു	Mixed_feelings
Sharukh khan fan movie pole undallo	Mixed_feelings
Mammootty fieldoutaayi ennu rodhikkunna fans ee trailor kandittu vaayil viralitottirikkayaaanu	Negative
