text_trans	category
Telugu r we joke of u	unknown state
Sir yella song video clips release maadi	Positive
Vaal kachidu bhal Nagu tarastri....Bhari Ada ri kati...	Negative
Great sir nivu	Positive
Naanu nodde bro adu Chennai Alli full housefull	Positive
Sir nim movie nodi nimge thumba ista aytu adre ondu bejaru agtide nNim movie song innu 2 songs release madiri please	Positive
kannadadalli pakka block baster  agutte ...aadre bere bhashegamalli sariagee pramoshan madta ill. hige aadre kasht	Negative
bro nim video super china da appp use madbardu annod sari k nivu e china game pubg adthiralla bro nivu next video na e pubg game enda madbedi nan nimna geli madthaedini ankobedi	Positive
Charitre srushti maadiruva Shettrege...Hands Up	Positive
Yes bro nanu Chinese apps galna delete madidhini . E thara innu jasti video madi bro . E thara good message viedio madthairi	Positive
uoppi  3	not-Kannada
kayakave kailas emb tatvavannu palisuttiruv kaliyugad manushya mattu sir naanu nimm tande k s ashwatth sar avar abhimaani	Positive
Super star of Kannada film industry	not-Kannada
@Devikumari BK tunne unno hogo	Negative
Howdu 100 percent	Mixed feelings
Shrikanth  gauramm AB.	Positive
Anna nim ella videos nodide....ella video super....innu chennagi videos maadtha iri...Sonu srinivas gowda mobile touch maadoku bhaya padabek aa tara maadi	Positive
tick tock sedegalu	Mixed feelings
Super super super	not-Kannada
Matte yake hakidira	Positive
tumba olle chitra	Positive
Concentrate on hindi promotion.. sir	Negative
Copy dub movie	Negative
Bro adru evaga bere language enda open madkond use madtaidaralla bro 🤦....thumba janridare nam jana e tara vishyadalli..haladavru🤦	Negative
Sorry ..nFilm thetarally  nododakkagta ella..nEnadruu theatar open adre nan nija hogtini ..matte friendsnu karkondu hogtini .	Mixed feelings
@Karthik S Reddy 1	unknown state
Aadu nane broo... Soul naa Replacement maddee... Bere body gee.. Antha aansthidee	Mixed feelings
i hadige nann kadeind hands of	unknown state
Film benki ide gurunKannada film industry li ide Tara saviraru cinema barli	Positive
Superb bro	not-Kannada
Film suprrrrrr agi ede full clean film	Positive
Bro starting baruttalla adu game name yaavdu plz heli bro plz	Mixed feelings
சூப்பர் சாங்க் அண்டு விசுவல் எபக்ட்	not-Kannada
Super Guru  tiktok ban I'm real happy	Positive
Super song guru..	Positive
@Nandi Parthasarathi jai gojjekesari gayashini Sule magne cheeti kalla  badige tulla	Negative
Sir lahari music navru karaoke uplode madtidare new song  nivu uplode madi  lyirical song ge karaoke add madi  uplode madi	unknown state
Love you so much Anna	Positive
Hindi version plzzz	not-Kannada
Nijana edhu	unknown state
haudu sar ashwatthama innu badukiddane	Positive
Amezing bro i love your rost	not-Kannada
China copy maadi naawu maadbekilla.. jana alli khushyaagilla.. naadre niw helidralli tumba kelsa aagbeku.. bhaaratadalli adella maadodu janakku bekaagalla	Positive
china communist desh sar	Mixed feelings
@Venkatesh Maraddi हिन्दी ऑडिएंस में भी ASN का गजब क्रेज है. जरूर देखेंगे इस फिल्म को. We will definitely watch this movie....	not-Kannada
Hindi song yalli	Positive
Anna thamma janpada super	Positive
charitre ide. idu ondu dantakathe.	Positive
@Navya N ya your right but I like him	unknown state
charitre srushtisoke rediagtiddane...avane shrimannarayan....	Positive
Guru ee desha uddhara agalla bedu bhai indian youth waste bedu	Negative
Super duper love you	Positive
tumba chennagide sar yuddh yaaru madidare enu geluvu nammade  agirabeku avane Srimannarayana	Positive
i kateyalli avanann hudukta idiya navane shrimannarayan( kaluvad luty)navnu yaarigu  sigall nkoVneVgeV elladakku avane dore..(shri mannarayan)nannoru like madi	unknown state
Ah allu raghu ge forward madbeku e video bari nigradavne	Negative
BRO hou TO downlod	not-Kannada
Avra manelli yavagadru hoddu sayisudre gottagutte kittod nan maklige tik tok yak ban madbeku andorge saryagelidira bro	Negative
nija bro jai hind	Positive
Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi	Positive
Tik tok badebagan   tiktok henda  maklu  uta hodala	Negative
kannada chitrarang tumba mose.....naSvaw sar avaru tande patra eshtu natarige hesaru aasti tandu kottiddare..navara makkalu kuda kote kote dudiyutta iddare..adare shankar sarinnimm tande nimm ge enu madill.. nimm olleya tan devaru kai biduvudill	Positive
@Vishal Shetty oh karch maadko hogu.... yello yaardo mundaav ikki sampadane maadirtya....	Negative
Super movie dai	Positive
Flop disaster film is on the way...nix en san kulav guru dubb san	Negative
My favorite song	not-Kannada
Nope i understood because im kannadig	Mixed feelings
olle sadesh sar tq	Positive
rakshit  shetti  sailant  killer	Positive
slum dialogue pogaru	Mixed feelings
love mocktel kuda super ide	Positive
Sup Shankar nag sir Vishnuvardan	not-Kannada
Edu charitre srushtisuva avataara🤨	Mixed feelings
Luv u rakshith Shetty sir	Positive
Acchaa kannada...soopr song....	not-Kannada
Super bro.. Allobba yarigu gottagde hage already gadduge yerikuttidda. nnAvne Srimanarayana	Positive
Anna adu real story	unknown state
Fan from ugandaa	Positive
Powerful music irbekittu annoru like madi	Negative
Superb bgm n nice dance moves	Mixed feelings
Ee song ond hava start madutee ansidrey like madi	Positive
Sai Kumar diolauge anthu benki bro	Positive
Super super super Sar job	Positive
Diya thumba chennagide ondu olle prayathna movie kone vargu sinimada ondu bhagavagi ondu olle feeling nalli movie na nodthidde but kone seen nijakku ishata aglilla tragidi ishtondu bekitta ellara manisige ishta ada adi na sayisbekitta so last seen nodida thakshna alliyavaregu idda feel pat antha Maya agi edenu heeg madudru ansuthe	Mixed feelings
Super super awesome awesome oh my god I like ur voice and song	Positive
Sri filmna north Indiadali promotion jasthi jasthi Madi	Positive
Shetre song soooooper	Positive
Only 124 dislike	Positive
Superb song hands up	not-Kannada
@shashikiran shetty BPL card irovru. Avrge ration kodlebeku nEducation alli free kottu support madbeku. Yestond jana rank togondirtare adre avrge dudiralla education madoke avrge free irbeku nnReservation poor people ge yak handre avru sariyagi study madoke hagiralla dudui tirtare jotege hodbeku nnDud irovru  hodtare	Positive
#BOSS FAN'S YELLA LIKE MADRO	unknown state
One word .. awesome music	Positive
Super awesome bro	not-Kannada
ellindno kaddiro hagide...🤔🤔	Negative
Sundara vada camedey	not-Kannada
I like your comments	Positive
Evnoba sade banda illi...	Negative
kannadadalli hoss prayatnakke olledagali	Positive
Kirik party boys	unknown state
super super bro	not-Kannada
@Manju Sonu souper coment kanla.... nin commentna aa Italy Ravindra Lowda hat sal odidru arth madcollok aagall....	Negative
Tag it to bindu lowda.... Avalammana thikana kheya	Negative
Jai d boss	Positive
Spr hero raksitsetty sir	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Your are great man devaru chengi.ittirilli wonder full man	Positive
Shettys>>>>Dboss+Raj kutumba+sarja family	unknown state
Bro nivu yava game adtaiyidara please comment	Mixed feelings
2.36-2.52 epic music	Positive
Rip chiru sir	Negative
OUR Karnataka is great state in india	not-Kannada
Girija Shivanada hi	not-Kannada
Super great words sir	not-Kannada
Promotion channagi madi sir. yeno sir Karnataka outside film sound madta ill. nimagint namige i film hit agalli ano aase ide sir	Mixed feelings
nimm jivan innu chennagi irali	Positive
Hands up gun looks like flare gun nIn pubg	Mixed feelings
guruve ivattinind ninn fan agabitte... nann desha nann hemme.... yallaru bhartiya vastugainne balsi bharatavannu ulisi.... jai hind..... tene tene kudidre rashi hani hani kudidre halla...... plice yallaru inn aadru oggattagee deshad parvagi nilli.... jai hind	Positive
idu charitre srushtiso avatara...rakshith shetty fans like here	Positive
Super song sir	Positive
Avaru badlagabeku ivara badlagabeku annodu tappu modlu nav badlagbeku ekandre vote hakori nave matte avara gedda mele avaranna baioru nave nija ansidre like madi	Positive
charan gowda  db	unknown state
Tik tok ban madirodrinda yargadru bejaragi frustration agidre bandu nan tun  undbidri samadaana agbahdu ella Andre Nim helna neeve tindbidi soo mindri mundera adra madorgu nimgu no changes e comment ge yalla Hindustan supporters reply maadinnChaina support madorge yav Tara k beku	Negative
Idu charitre shrustisuva avatara idu charitre shrushtisuva cinema ASN	Positive
Ivrigella hige agbeku	Positive
Paramedical exam bagge mahiti tilisi sir	Positive
Super movie I like it	Positive
Please all dislike 'this video.	Negative
astena sir innu sawlpa chanagi hellbekithu tik tok kalli galige super guru	Positive
abhimaani annodu dodda maatu	Negative
i sangeet mattu dance step ondu benchmark mattu trend agatte	Positive
Inta Best Movie na Theatre nalli nodakaglilla ade bejaru	Negative
Tik Tok Ban Madrappa India Dalli	Positive
Anna nivu comedy agi madila Andru yene madidru entertaining agi eruthe  keep rocking	Positive
Ya u true	unknown state
idu charitre srashtiso avataar...	Positive
@MADHU S B haudu guru	unknown state
Super bro	not-Kannada
kannadigaru dislike madbardu...	Mixed feelings
Hands up haters	Mixed feelings
China dali no donation large money all filled communist govt nnBut not India all in donation	Negative
Instagram ali share madi avlna tag madi e math helu bro	Mixed feelings
Darshan  abimanikade enda koda best of luck	Positive
Nim matanna kadime madi pubg sceans kadime madi...	Mixed feelings
So good boss	unknown state
Varshkond beda pa nidanake ne agli ee tara olle movie kotre saaku	Positive
KGF 2   commentnASN      Like	unknown state
Praveen Rangu o	unknown state
hadu super sangeet sanyojane super super	Positive
nim manigu bandidna.......?	unknown state
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
@Raghul yes. In amazon prime video	not-Kannada
Amazon prime alli bittidira....yella manele nodtare....	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Enu guru song saktha kick kodtha edae..super ASN	Positive
Syke SongnI am Full Fida....	not-Kannada
hadu tumba chennagi barediddirionhadige sangeet tumba chennagi moodibandideinhagagi i hadu kelidag tumbane khushi aaytu	Positive
Nam kannada industry yav industry gu kadime illa maaraya...	Positive
Super song dance	not-Kannada
@Nandi Parthasarathi nim Amman thulavru	unknown state
Legit gaming adu ond pad bittu nodu	Mixed feelings
@Ambrish Mallad nin Amman thullu sulemagne gaandu nayi sulemakla mucchkondiro	Negative
@VIKRANTH DHANUSH kai meletu ? nnaa pistol hesaru kai meletu idabahuda?	Negative
Happy happy happynFinally Ban tiktokn	Positive
Lowde song hesru en helu	Negative
Nammaneg bandidda mare full party	Positive
Super .  Siri kannada suprr song	not-Kannada
Nijwaglu thumba chanagide	Positive
@info abhi ayn dilog pa	unknown state
trunding number . 1	Positive
BGM chindi	Positive
souper et agin kaldalli souper star togari teep	Positive
Ggggggggggggggggggggg song of 2019 to 2020 one like for 2020	unknown state
Sir Bermuda triangle bagge video maadi	Positive
hindi m bhi daal. do yaaro	not-Kannada
super	not-Kannada
Hands Upn Tamil Nadu	Positive
souper hadu shetre	Positive
Sir pls answer abt Hindi version...	unknown state
uff  kedu	unknown state
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
hitihaash badlaisidiri nivu.	Positive
idu charitre srushthiso avataar	Positive
prapanchavanne nadugisuttiruv ugravaad karonage shak!!nrU.50	unknown state
bass innu munde belibeku	Positive
Super And Best Film My entire life..	Positive
umesh karigar Inc	not-Kannada
Next level #stunning	not-Kannada
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Este antha helakkagall nija edhru erabahudu	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
yorell i san annu dinalu keluttiri... 🤔	Positive
Vijapura distica sindagiya tetaranalli e song cut madiddare yaradaru vicharisabekagi vinanti	Negative
Dhananjay Kinyaje ill malayalamnalliu ig moovie odta ill..alli enidru souper star gal moovige dimand .naanu eshto moovie yannu tivielli nodiddene..tumba chennagirutte..aadre theatre nalli odirodill...kannadadalli hosabarige iruvashtu spes bere bhasheyalli ill...	Negative
All d best frm appu boys	Positive
nimmage isht agidre souper  bgm anicidare .like madi share . kannada industries  power torisooen	Positive
Bere level aagi ede..appata kannada haadu...	Positive
Pistol look like flare gun...nnJai pubg..	Mixed feelings
Film industri is west so	not-Kannada
adbut nawyaxBuwa nix filam andre nbat nammavru gallisalla	Positive
It makes history....pakka	Positive
Next part madi	Positive
Avl amman tullu navenu Chinese mobile	Negative
Very good song.....	not-Kannada
yak guru i. hadu ishtu addiqut agbittide	Negative
nimm anisikege nann namangalu	Positive
Jai modiji for tik tok ban 🥰🥰🥰	Mixed feelings
sar nimm prationdu maatu noorkke nuru satya nnimma nodi hemme agutte sar	Positive
idu charitre srushtiso avataar...!!nbaMxa nodu nav-yugad randhir..neVllellu rakshit ran-kahaleya sanchar..nixu charitre srushtiso avataar...!!	Positive
U r great sir	not-Kannada
Sir pls i request bgm for band master	Positive
naanu ollevarige mathra olle comments madtini sir ......ninnanta olle vektige ollede agutte sir shankar sir nimmanta seniors namage inspiration sir !!!! haage kuda anchor kuda super neevu kuda naanu mecchida anchor neevu	Positive
Anjali Devi hi	not-Kannada
Chindi	Negative
Yav game guru edu	unknown state
director ge  sharnu	Positive
Nanu iga bekantale ...alisoke bande shakuntale ....mis u poo	Mixed feelings
Songs are not needed	Mixed feelings
hudugi andre yak saytiro.........	Negative
Sir ye song Tamil language me hai	not-Kannada
@kichchan havali book my show Alli pailwan 16cr kurukshetra 28cr madide nodo amele maatadu yavdu jaasti collection madide anta	Mixed feelings
Super Guru entha troll Guru Ninangodu Salam Guru	Positive
ajanish ayn music guruvanbaliwood sans gint chennagidevnthiting for fdfs	Positive
Nimge henge gotthu neevu en alle idra	Mixed feelings
Full different song	Mixed feelings
kannada chitrarangadalli sangeet mattomme avan rupadalli huttituvanyar avanu🤔?navane namm lokanath🤩 ajanish..nMusic blasted	Positive
Hagadare kaleyugaku antya edhe antha aytu ero ast Dina enjoy madkond erbekappa	Negative
Eatra film nana life nale nodella sir super different director	Positive
matte tiyeterge akrickenintah cineman belison	Mixed feelings
Tik tok beda namge	Negative
GOOD LUCK FOR RAKSHIT SHETTY SIR AND HIS TEAM FRM KICCHA SUDEEP SIR FANS	Positive
Nanu kellida uthammavada maatugallu thanks sir	Positive
Dagar binduna modlu china ge kalsrappa	Negative
@Shashank Raj ninu thika muchho lo yeno artha aythu ninge caments ododu kali 🤣🤣	Negative
Tik tok ban maadi. Ellari India app mitron app use maadi. Adhu same tik tok tharane idhe	Positive
Kannadadha hesaralli and film ge devara hesaru Etti duddu maadodhu Kannada industry endha kalibdku. Kannada industry Alle athyantha ketta film Andre adhu edhe film.bt theatre alli malkoloke olle film	Positive
Yake avru uninstall madak hinde munde  nodtidare  andre.   Avrige  amount bartide  ansutte tiktok enda	Negative
Amazing song!..... Mind blowing.......!	not-Kannada
good   one	not-Kannada
lo thagari thippa suppr kano	Mixed feelings
idu charitre srushtiso avataar	Positive
Hiryaru manyaga heltidru	unknown state
aene aagali munde sago ni	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
devare devare devare devare shivane tandheye appane nivu super super duper mind blowing hero forever forever	Mixed feelings
en madokagutte kalavaru nammore   telugu yavudadru san triler bandre nai kaayo hage kaytirtare	Negative
2020 best song	not-Kannada
Yappa en song Anna super song	Positive
rakshit shettiavaru eradne kannadad kansugar	Positive
ondu shikariya kathe.. aagade irali prekshakarige vyathe..njE kannada..	Mixed feelings
Sir really talent  andre nimde nimmantavaru beku nam deshakke	Positive
adbhut hadu	Positive
first time keldaga ista agalla amel kelta kelta kelbeku ansatte.. nimgu haage annista	Positive
Pubg plair gun	not-Kannada
Hindi audience like here	not-Kannada
@Nandi Parthasarathi hogo ninna akkna tullu ninna tara kelsa ilva nange yenu yavglu comments madkondu tika muchkondu sidege hogo	Negative
Super song	not-Kannada
Anna canagi helidira	Positive
Anjali Devi super story	not-Kannada
Bro see irum u kottai murattu singam film	not-Kannada
Superb nice message to all	not-Kannada
Anjali Devi very nice	not-Kannada
Swag ka baap Rakshit Shetty..	Positive
I feel this vijay prakash singing tune same as kotigobba kotigobba	Positive
Making is so different & good workout	not-Kannada
@vinay vinu nice comedy man....     naan kelo prashnege uttar heloke agdale iro nann bandu eno madtiya paap..  nin nodidre ayyo ansutte...	Negative
@Nandi Parthasarathi ala hadaragitti nimmadu dodda tullu bide	Negative
tick tock ban madiddu olle vishay.  chinis ap galell  ban madiddu tumba tumba olle vishay.	Positive
Most liked Kannada song	not-Kannada
Intha olle video nu dislike madiroru yentha kachada nanmaklirbeku🤦🤦🤦🤦	Negative
abbaa ayn guru triler	Mixed feelings
@Vijay Prasad yen yogyathey. Chappar. 3000 gintha hechchu cinema nodidheeni naanu. Nann abipraya kotrey yeno boli magane muddhey thinna louda. nThooo!!	Negative
Godiyaga isfet adatida	unknown state
Guru nin super guru osm voice guru nindu	Positive
bail kureacity iro hagide chithravannu nodelu kataradind kayuttiddene	Positive
@Devikumari BK shata teriyak nodtidiya??	Negative
Superb song	not-Kannada
@kushal kumar	unknown state
shankarnag sir & uppi sir nantara obb uttama actor & director sikkidane nam kannada industry ge Rakshit shatty	Positive
@Shivananda Kanni rryrrrrtrtworrrorrrp	not-Kannada
Remake madi hit codoke idu 2010 all.n2020 Swamake madi khandit hit kodutte.ngeVlYeVya anth cinemagalu madi	Positive
Yava game name	Mixed feelings
Yaru boss alla	unknown state
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
jai de bass	Mixed feelings
Handsup shoot madbeka dishkaew	unknown state
tulunad tulu cinema hero prithvi abhinaya souper...	Positive
jana theatre ge bandilla aadrinda collection kadime aagide	Mixed feelings
Super song	Positive
Release in Aboard	Positive
kasht pattu  sal sol madi k0pani sthapisidru GST katsi katsi diwali madsi bidware i rajakaranigalu.	Negative
One more lucia movie	unknown state
Jai d boss appu	Positive
Entaha adbhutava movie	Positive
Anjali Devi Hi	not-Kannada
Bro ee game yavdu and nimma ella video super boss	Positive
Avane gay Rak'shit' shetty	Negative
Sundaravada Kate super	Positive
Dislike mado moorkhar buddige shradhanjali.	Negative
@kinu0505 report him	unknown state
i daridra baddyatav tiktok nodie namm modiavaru ban madiddu guru	Negative
@abhi k patil yes.... ASN	unknown state
wowww superb song	not-Kannada
Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP	Positive
Edu charitre srustiso song guru	Positive
Hands up song full Kirak song	Positive
haleya nenpu...togari tipp	Positive
Remake mado herogaliginthanE thara swamake madoru bekunNam industry genRemake yella wastenSwamke is best	Positive
I love you bro nice talking style	not-Kannada
Bigbossalli  step hakiro controverrsy nodi bandiror yar yarppann like Madi	Negative
Super song bro	Positive
Ohh my God🤟🤟	not-Kannada
Creative  kiladi guru ninu souper	Positive
Sir kfi ha kochkondu ogtayda.	Negative
Happy new year guru	Positive
@TROLL MONSTER_KANNADA oh ninu nimm maneli ivell hehthiya? ninn ammanann amm anth kareyoll ansutte....  amman antiya ansutte.... oh nin manelu ninu tunne tullu anth matadoda??? great family kano nindu....	Negative
@Venu ahgbowdu.	unknown state
desh kayakke yodh irabeku tiripe shoki madidwarige trol madoru irabeku	Mixed feelings
Rekshith shetty kerala fans	Positive
obb nayakan katheyalli 2 yudd barutte sanvi bandmele ondu inondu sanvi hodamele avane shrimnarayn	Positive
Game name henu bro	Positive
avane shrimannarayan allaiennivane namm shrimannarayan npavar star puneet rajkumar abhimanigarhu saport madoru like hodiri njE puneet rajkumarinjai kannada chitra rango	Positive
benki jakas innu hchin dagi rost madi	Positive
@Scorpion Studios  nnamaskAra 🤣🤣	Mixed feelings
Movie dekh li kya	not-Kannada
Big fan - kerala	Positive
tumba nagu bantu guru	Positive
naarayan band dari bidi	Mixed feelings
@Sandeep Nagaraj o	unknown state
Full rada rada macha henge navu	Positive
@Shashank Shashu super bro	unknown state
Super video madiddira	Positive
super super boss	Positive
Tusmika manganna Na tikha uriyang Ede... Rakshith Shetty ni hinge belibeku..avl mukli uriyeng	Negative
Jai D Boss	Positive
Super movie I like it	Positive
kgf gunda ha bey	not-Kannada
Adu support irodarinda	unknown state
Super hit agodralli yavude dout illa gelayare Jeeva	Positive
Hands up kannada Na thu ninna	Negative
ASHWATH SIR ACTING	not-Kannada
@SANGMESH NADVINMANI y bro	unknown state
@Saraswathi.p.k. Baby swathi	Positive
Bahala varshada nantara Togari Tippa Hasya keli santosh aayitu  thank you for this video	Positive
kriminal buddhavantike ..souper hige irabeku .. namm desh no... chance..	Negative
chennagide ASN kanri rakshit shetti	Positive
@Troll Stupid Fans neenu Darshan ge huttirbeku adike avn bagge ne mathadthidiya nimman thulna keyya soole magane.nim amman thull ge kathe thunne sigaka hogi bale akolo aaa gaandu lucha thara	Negative
souper  toogarithipp	Positive
@Unity of India nam deshadalli poor people heecchide..yakandre caste system saluvagi avar hattir property hecchide karan avaru hinde caste system mele janagalannu looti madi tamma property hecchu madkondidare adre belove caste ge astu property iralla so adar saluvagi avaru yavaglu badadvarage ulitidare yavag nam sampattu samanavagi hanchuttivo avage desha develop agodu	Negative
Hindi songs kaha he	not-Kannada
Ur right ....i felt same....super meaningful song.	not-Kannada
@Dhanik Patel I am not blaming India bro	unknown state
Ashwathama. Vadhukkidhe.evathu. video. Nodithunanu. Jai. Babaji	Positive
@Manohar Hiremath neen full urkondidiya bido	Negative
karavali style movie nododhe chend	Positive
@Vishal Shetty BOSS na nodi urkobeku aste yenu nithkolake agalla	Negative
Yar yar jasti nidde madthira nn	Negative
enu anth gottill	unknown state
togari tippathanjanapad hasya tumba chennagi ide da.shambhu baligaar ravarigendhanyavadgalu	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
@Kiccha Vitthal sudvapi nxt filam rilies in mars	Negative
Super osam music	Positive
Awsome movie must match movie	Positive
Super song guru	Positive
K.s  .karthik  yash  fernd  nanbarn9916102619  devaraj	unknown state
Bosssuuuuu super innu ugibeku tiktok yak ban madbeku annorge	Mixed feelings
Rashmika gube fans irbekhu	Negative
Allow illo kelid nenapu	Positive
D boss movie henge irli fans hatrikk maadtare pakka	Positive
Sir neev adthidda game yavdu	Positive
nanage mahabharat kathe kellu tumba isht naanu mahabharat odiddene	Positive
Dislike madidoru rashmika mandanna fans irbodu	Negative
Super Amar prasad sir	Positive
kannada cinema da avataar shuruvayitu	Positive
I will watch	Positive
Hands up	unknown state
san pramoshan ildene #1 trending nallide idu heg sadhay... ?	Positive
Diya na Rakshit shetti  na belsona	Negative
Views struck	Mixed feelings
Good msg man	not-Kannada
Janapada in North karnatak	not-Kannada
prajaprabhutva kanoonalva adkke	Mixed feelings
allauddin yaaru sar	Positive
hapi new year in adwance and im vaiting  avane shrimannarayan rakshit shetti sar	unknown state
namm deshdalli doddadad bandwalagainn hudy bijiness madi labh madebekunnuvavaru bahlaa jan idare labh hehtadashtu .sarkaar inkam idi anth tondaregolgaguv sadhayatayiruttadendu munde baruvudill	Positive
I like feel better #person only you sir	not-Kannada
Back burn rashmika	Mixed feelings
Bhimsen Baburao Waghe Bhimsen Waghe	not-Kannada
@Nandi Parthasarathi  muchchalle.... mari  doddabalapur itihaash eno gotu .rajakamal ge cinema hodre klin ill vasane. sariad mentenss ill.  avag kannada cinema hakodrlli nammagu isht ittu. telugu  sair narsinh reddy hawkidono rajakamal maryade no hoitu	Negative
nayavad  matugalu  nivu chennagi nirabeku sar	Positive
DOP and dance styles are lit	Positive
Avlge avra appaniginta pakkada mane uncle tumbaa esta adke bro	Negative
druv anna abhimanigal kadeind all the best	Positive
nijawagiu ann HANDS OFF TO YOU.. dhanyavadgalu...	Positive
I'm waiting bro	not-Kannada
@Mr goodboy Swami	unknown state
Super Chindiii sir sakkatagi ede	Positive
@Manjunath BJP Jorapur ybsbjdis	not-Kannada
rimek moovie....irbeku tamil vishal du alva	Negative
Worst song ever...	Negative
naanu nodi sattwagi 30 nimish kanniru hakid cinema	Positive
Super Jai D.Boss	Positive
beda i kachad show ge barodu beda sar	Negative
Super trailer praju Anna	Positive
innu tick tock mado chutya sule makkalige addadda kat madbeku	Negative
Nin yavag nodidde baggi avn potential. Muchole	Negative
Jai Hind sir	unknown state
Anna nim e vedio nodinu mathe chaina apps use madidre...nijakku avru maryade  swabhiman ildoru bharatha dalli irbardu ....antavrnella nimhange maryade thegibeku.....	Negative
@Nandi Parthasarathi nandini nandini nimm awv basuri	Negative
@basavana gouda what	unknown state
E film yar yar nodiddera 🤘 like madi	unknown state
togari tippa hasya chatocky mast aiti ri	Positive
yaradru lirix odidre i hadin oxarth tilioke eshtu kasht ide anth tilidirutte...adu i hadin twist	Positive
100 million agalla BRO	Negative
Basavaraj  Badiger	Positive
sakkath ag helde guru	Positive
It is karabu.	unknown state
Kannada super song.....super boss..... hands up	not-Kannada
Yes yes yes🤟	unknown state
triler nodudre curacity tumba ide cinema nodebeku chenagirutte anth bhavistini al di best yash bass fance kadeind	Positive
haudu huliya	unknown state
@Nandi Parthasarathi sumne side ge hogu gottala naanu vishal shetti allah... minderugali	Negative
basavaraj gurikar .	not-Kannada
Super ide trailer	Positive
@Hithu aradhya where??	unknown state
I am looking for Hindi song...	unknown state
handigalake youtube use madtive.....ndislike kud madtive..nniMWa san dislike madorige en anbeku....	Negative
Bindu  lowda smartphones laptop kelvu brand chinade agidru nav use madtha erodakke already tax kattidivi en  munde kattod beda antha heltha erodu	unknown state
Sir super matadidre	Positive
Hindi nalli Madi movie oduthe plz	Positive
Dia super movie	Positive
Extradnary talent from raksit setty e movie enadru Kannada industrige hosa sandesha kodutte annoru like madi	Positive
Preethi ge praana bidovru Idara ??	Positive
sudeep fan like me	not-Kannada
Nakkan idhu idhu roast andhery	Positive
Moorne kgf 2	unknown state
Sema Padam nnFantastic making	Positive
@ganesha m by	unknown state
Ista aythu chhannagide	Positive
Hanna neve super	unknown state
Supar guru chindi	Positive
100 times correct	unknown state
सर आप लोगो से निवेदन है आप छत्तीसगढ़ मध्य्प्रदेश इस तरफ़ खुद की टाकीज खरीद लीजिये जिसमे सिर्फ साउथ की डब मूवी ही चलेगी आपसे रिक्वेस्ट है आप पैसा इन्वेस्ट करके दिखे छत्तीसगढ़ दुर्ग में तरुण बिग सिनेमा खाली हो रहा है आप दुर्ग में इन्वेस्ट कर सकते है nफिर क्या आप लोग धीरे धीरे पूरे हर जिलों में 1 सिनेमा घर आप अलॉट करते जाना फिर देखना आपकी हर मूवी को हम देख सकते है और अच्छा बिजनेस भी कर सकेगी	not-Kannada
vishvaguru basavannanawar aapt kaaryadarshiagidd shri hajjpad appannanawar itihaasad bagge tilisi sar	Positive
Super bro...... Well video for tiktoker	not-Kannada
I like it	not-Kannada
Rakshit shetty superb	Positive
Full movie send.	not-Kannada
n 0	unknown state
yake andre? D booos du kurishetra filam gay asker awold barbekittu. yak kotela? so d boos fens ee filam nodilla.....	Negative
Avane Srimannarayana Trailer-BGM n          Re-Createdn	Positive
@Naveen Kumar j@	not-Kannada
de bass fan kadeind all tha best jai D Boss	Positive
Super guru pakka block buster	Positive
Ee  boli maklige deshakoskara1 app delete madakkaglilla	Negative
@Nikistark x it's Kannada buddy	unknown state
K. BOOS.	unknown state
Anjali Devi I like	not-Kannada
Elli vabba mhana kalavidan maga annodu menation agutte yakendre cinirangakke avarakoduge tunbaede yavadadaru poshaka pataragalanna kodabahudu aste	Positive
adbhutavad sangeet aadre sumaragide lyrics	Positive
Yaaru e songanna ondakkinta jaasti sala kelta edeera like maadi	Positive
Basavaraj Marennavar McCartney	not-Kannada
Yako rascal stupid	Negative
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Nice I like it	not-Kannada
Yaru nammamatu kelalla avarige tochiddu avaru madtare	Positive
en ugadidiya guru mat matagu ugudidiya i video na enadru tick tock star galu enadru nodidre nenu hakkottare guru super🤣	Negative
Super bro e nayiigulu erodrindane nam desha uddar agilla once again super bro	Negative
Super move	not-Kannada
@Rohit Gangatkar guru ninge gotagalla sumne eru bale pans start madidare nau end madthivi e mathna thuldeepannan  pansgu helu modlu	Negative
deshadhrohigalu dis like madidare nivu nijavad desh drohigalu nachike agabeku nimm janmakke.... intah adbhutavad video galigu dis like  madidrall nimage nachike aagalva.....	Negative
adbut ati adbut ri gurugale	Positive
