text_clean	y
ಮಧ ಸ ಬ ಪಕಕ ಹಳದ ಗರ ಗಬಡ ನನಮಕಳ	Negative
ಸಯಯದ ನರ ನರ ಸಡ ಧನಯವದಗಳ	Positive
ತರಲರ ಸಪರ ಐಡ ಸರ ಎಡ ಹದ ನಲಲ ಕಡ ರಲಸ ಮದ ಪಲಸ	Positive
ಐ ಫಲ ಜಸತ ಬಟಟ ಕತತರ ಬರ ಲರಕಲ ವಡಯ ಸಕಗತತ	Negative
ಹಯಡಸ ಉಪ	not-Kannada
αಲ ತє вєѕತ ಫರσಮ ದರಗѕ вσѕѕ ಫαನಜಜ	Positive
ಯಕರ ಟರಲರ ನಡಲಲ ಆಗಲ ಡಸಲಕ	Negative
ಫನಲಲ ಪಹಮ ಮನಸಟರ ಮದ ಡಡ ಇತ	Mixed feelings
ಸಗರ ಗ ಜಐ	Positive
ನನ ಸಗಪಪ ಮನತನ ವಶಲ	Positive
ಲ ನನ ಫಲಮ ಒಡಟಲಲ ಮಡಲ ಅವ ಫಲಮ ನಡರ ಅಮಲ ಬರ ಫಲಮಗ ಸಪರಟ ಮಡ ಸಮನ ಕಮಟ ಅಕಬತರ ಫಲಮ ಒಡಬದತತ ಬರ ಬಲಡಪಪ	Negative
ಸಪರ ಬಗಗ ಫಯನ ಆಫ ರಕಷತ ಶಟ	Positive
ಪರತ ಹದನನ ಅಚಛ ಕನನಡಲಲ ಬರದವರಗ ಅಬನದನಗಲ	Mixed feelings
ಸಪರ ನಸ ವಡಯ ಬರ	not-Kannada
ಲವ ಸರ	not-Kannada
ಹಯಡಸ ಉಪ ಆಡಕಟವ ಮಟ ಮಟ ಹದನನ ಕಲಬಕ ಅನಸತತ	Positive
ಸಪರ ಸಗ ಙಗ ಸಪರ ಡನಸ	Positive
ಈಗಲದರ ಜನ ರಜಕರಣವನನ ಒದದಡಸ	Positive
ವಡಯ ನಡಡರ ಲಕ ಕಡರ	Positive
ಕರವಲ ಕರವಲ ಇತತ ಬಡ ಮಯರ ಫಲಮ ಸಪರ ಹತ ಆಗಬಕ ಬರ ಸಟಟಸನವರ ನಮಮತ ನಡಬಕ ಆಸತ	Positive
ನಸ ಎಕಸಪಲನ ಸರ	Mixed feelings
ಇದ ಚರತರ ಸಷಠಸ ಅವತರ ನಡ ಶರಮನ ನರಯಣ	Positive
ಕರತನ ಕಮರ ಅದ ಒದ ಪದ ಬಟಟ ನಡ	Mixed feelings
ಇದ ಸಲ ಅಡಕಟ ಸಗ ಗರನಅಡಕಟ ಆಗದ ಪಕಕ	Positive
ನದ ಪರಥಸರಥ ನನನ ಶತ ಸಮನ ಬಲವಡ ಹಲವಡ ಸಲಮಗನ ಮಡಲ ನನನ ಮತಭಷ ಬಳಸ ಯರ ಹರ ಆಗಲ	Negative
ಯಸ 100 ಟರ	unknown state
ಸಪರಬಲ ಸಗ ಬಯ ವಜಯ ಪರಕಶ	Positive
ಐಲ ಲಲ ಲ	Mixed feelings
ತನನ ಉತತಮ ಗಣಮಟಟವನನ ಸಬತ ಮಡತತ ಮದ ಸಗತತದ ವ ಲವ ಮಸತಮಗ ಟಮ	Positive
ಊಹಗ ಮರಡ ಸಹಸ	Positive
ಕನನಡ ಅಲಲ ಎತ ಮವ ಬರಬಕ ಸಡಲವಡ ರಕ	Positive
ವರಶನ ಹಕ ಯಹ ಐ	unknown state
ಬರ ನನ ಹಲಧ ಸರನ	Positive
ಅಮಝಗ ವರ ನಸ ಪರಜವಲ ಲಫ ಗ ಓದ ಹಸ ತರವ ಕದವತಹ ಸನಮ ಇದ	Positive
న పర ఉధత	not-Kannada
ಜಗದಶ ಗ ದಬಲ	unknown state
ತರಲರ ಟಬ ಚನನಗಡ	Positive
ಗರ ಚನ ರಜಕಯ ವಯವಸತ ಬಗಗ ವಡಯ ಮದ	Positive
ಬರ ನನ ಕಡ ಟಕತಕ ಉಸ ಮದಥದ ಬನ ಅದಗ ನಗ ಯನ ಬಜರ ಅಗಲಲ ಯಕನದರ ನಮದ ಓದ ಸನ ಕಟರಬಟನ ಇರಲ ನಮಮ ದಶ ಕಏ ಜಐ ಹದ	Positive
1 ಮನ ಸಲನಸ ಫರ ಟಕಟಕರಸ	Negative
ಸಪರ ಬರ ನಮ ನಸ ಆಡ ಡಯಲಗ ಬರ	Positive
ಸರ ನವ ಉಥಪದನ ಮದದನನ ವದಶಕ ಯವರತ ಪರಸಡರ ಮಲಕ ಕಲಸಟತಯವದ ಲಚ ಏಲದ	Positive
ಬಸವರಜ ಕಚರಡಡ ಆಸರಜ	unknown state
ಸಪರ ಸಗ	Positive
ಸಪರಬ ಸಡಲವಡ ಜಟಲ ಮನ	Positive
ಚರತರ ಸಷಟಸಲಕನನಡದ ಹವ ಜರಗದ ಭರತಯ ಚತರರಗದಲಲಹಮಮಯ ವಷಯನಮಮಲಲರಗ	Positive
ಯಶ ಬಸ ಡಡ ಇತ	Mixed feelings
ಏನ ಟಕತಕ ಉಸ ಮಡರಗ ಮರಯದ ಏಲ ಇಡಯನ ಆಲ	Negative
ಲಕಷಮ ಶಟ ವತ	Negative
ಬರಡ ಗರ ಇಧಲಲ ಸಲಪ ನಬ ಥರ ಕಥ ಕತತ	Negative
ಲ ವಡಯ ಅಕ ಸ	Negative
ಇದ ಚರತರ ಸಷಟಸ ಅವತರನನರಯಣ ಅವತರ	Positive
ಇಡಪಪ ಕನನಡ ಸಗ ಆಡರ ಕಫ ಬಕ ಓ ಟರಯಕ	Mixed feelings
ನಬಲದ ವಸಮಯ ಸಗತಗಳ ಅದಷಟ ಇವ ನಬಲ ಆಗದ ಇದದರ ಸತಯವ ಆಗರತತವ	Positive
ಸಪರ ಬರ ಬಕ	Positive
ಓದ ವರಷಕಏ 1ಆರ2 ಫಲಮ ಮಡದಕನತ ಏತ ಓದ ಓಲ ಫಲಮ ಮಡದರ ಕನನಡ ಇಡಸಟರ ಎಲಗ ಓಗಟಥ	Positive
ಅಥಹ ಮಹನ ಕಲವದರ ಮಗನಗ ಹಟಟದರ ನವ ಅದಷಟ ವತರ ನಮಗ ಕಡತವಗಲ ಒಳಳದ ಆಗತತ ಶವ ಶಕತ ನಮಗ ಒಳಳದ ಮಡತರ ಧನಯವದಗಳ ಓಶಕತ	Positive
ಸಪರ ಮಯಸಕ ಎತತದರ ಸಗಲಲಯಸತ ಸಲ ಸಗ ಕಲದರ ಬಜರ ಆಗಲ ಟಬ ಚನನಗಡ	Positive
ಆಲ ಬಸಟ ಫರಮ ಡ ಬಸ ಫಯನಸ ಕಲರ	Positive
ನಮಮ ಕಮಟ ನಡ ಓದದವರ ಸಮಸಯಗಳ ಬಗ ಪರಹರವಗಲಓ ನಮ ನರಯಣಯ ನಮ	Mixed feelings
ಬಸ ಮನಯ ಭರಮ ನಲಲ ಬದಕತದಯ ಚನನ ನನಮದಲ ದರಶನ ಬಸ ಗ ಬಕಟ ಹದದ ಬಲದರಡ ಅದನನ ತಲಲ ಇಟಕ ನದರಶನ ಅತ 100 ಜನ ಇಡಸಟರ ಬಸ ಬಲಸವರನನವರಯಕ ಇನನಬಬನ ಗ ಬಕಟ ಹದತರ ಬಕಟ ನನ ಮಯಗನ	Negative
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಬರಯತತ ಹದರ ಇದದ ಸದರಘ ಲಖನವಗಬಡಬಹದನ ಆದರ ಕಷಣಕಕ ಒದ ಅಪರಪದ ಸನಮದ ಕರತ ಬರಯದ ಅಪರಣನಗಲರ ಕಲವ ಸನಮ	Positive
ಸಪರ ಸಗ ಬರ	not-Kannada
ಬ ಬಸ	unknown state
ಸಪರ ಅನನ	Positive
ಅಮಝಗ ಮಯಸಕ	Positive
ŕäವîñđŕå_02_ಗøವđřú ನಮಮ ಅಮಮನ ತಲಲ	Negative
ಯಲಲ ಎದರ ಗರ ಮಯಸಕ ದರಕಟರ ಸಪರ ಮಯಸಕ ಅಲಟಮತ ಮಯಸಕ	Positive
ಹಸತ ಹಸತ ಕವಗ ಹಪನಸನ ತದ ಕನನಡಕಕ ಹರಪನಇವ ಮಡಲಲ ನರಸಯಬ ತಪಪನಇದ	Positive
ಐ ಲವ ಗಜಜಕಸರ ಸಲ ಗಯಶ	Negative
ಮಲಯಲಸ ಪರ	unknown state
ಅಜಯ ಜಶ ಙಜಕ ಕರಮ ಜಹರ ಕ ಪಚ	not-Kannada
ನಮಮ ಸವದನ ಕನನ ಕರಣ	Positive
ಸಪರಬ ಕನನದಗ	Mixed feelings
ಕರಕಟ ಬರದರ ಲವ ಬರ	unknown state
ಸಪರ ಮವ ಇನ ಕನನಡ ಫಲಮ ಇಡಸಟರ	Positive
ನಮನ ತರಹ ಮನಶ ಸಮಜ ಕ ಭಗ ಅರ ಗರಟ	Positive
ಸಪರಬ ಮವ ರಕಷತ ಸರ	Positive
ಯನ ತಪ ಇಲಲ ಇನನ ಚನಗ ಉಗಬಕ	Negative
ಮ ಸಗ	unknown state
ಟರಲ ಸತಪಡ ಫಸ ಹದಗರ ಕಮಟ ಮಡಡನನ ನಡಕ ಬಯರತಯ ಬವರಸ ಮದಕ ಕಯಮ ಈಲವನ ಲಫರ	Negative
ಚನನಗ ಮಡ ಬದದದ	Positive
ನಯಸ ಕಟ ಗಗನ ಮ	unknown state
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಸಪರ ಸರ	not-Kannada
ಹಯಡಸ ಉಪ	Positive
ಸಪರ ಬರ ಊರ ವಡಯ	Positive
ಸತಶನಥಯನದಮ ಲ ಮರಖ ನನ ರಜಕಮರ ಮವ ನಡ ಓಗ ಕಪರ ಮದಲ ಹಲದ ಆಸತ ಕನ ಕಗನಬಗಮ ಗ ಸಗ ವಯತಯಸ ಗತತ ನಗನನನ ಹಮಸಲಖ ಸಗ ಕಲ	Negative
ಡಸ ಲಕ ಮದರರಗ ಶರದಜಲ	Negative
ಹಯಡಸ ಉಪ ಸಗಗ	unknown state
ಬಗಮ ಆಡ ಡನಸ ಸಪರ	not-Kannada
ಯನ ಟಪಪಲಲ ಗರ	Positive
ಜದ ಹ ತ ಡಕಲನ	not-Kannada
ರಕಷತ ಶಟಟಯವರ ವಷ೯ಕದ ನಮವ ಮಡ ಅನನರ ಲಕನಮಡ	Positive
ಸಪರ ತಕಸ ವಲ ಬಬ	Positive
ಫರಕನ ಇಯರ ವರಮ ಆಫ ಸಗಪಪ ಪ ಬ ಪಪ ಪ ಪ ಪ ಪ ಪ	Mixed feelings
ನನನ ಪರಕರ ಟಲಗರ ಅನನ ಆಪ ನಲಲ ಎಲಲ ಸನಮಗಳ ಲಕ ಹಗ ಹದ ಸನಮಗಳ ಸಗತತವ ಇದನನ ನಲಲಸದರ ನಜವಗಯ ಎಲಲ ಕನನಡ ಸನಮಗಳ ಹಗ ಬರ ಸನಮಗಳ ಕಡ ಬಳಯತತದ ನನನ ಸನಹತರ ಕಡ ಇದ ತರಹ ನಮಮ ಸನಮ ನಡದದರ ಹಗ ಕಡ ಬರ ಅವರಗ ತಬ ಚನನಗ ಇದ ನಡ ಅತ ಮಬಲ ಅಲಲ ಕಳಸತ ಇದದರ ಇದ ನನಗ ತಬ ಬಜರಗದ ಆದರ ದಯ ಸನಮ ತಬ ತಬ ಚನನಗ ಇದ ನನನ ಕಣಣಲ ನರ ತಬದದ ನಜ ಅದ ಪತರ ಹಗ ದಯ ಪತರ ತಬ ಚನನಗ ಮಡ ಬದದ ನನ ಮತಡದದ ಸರ ಎನಸದರ ಕಮಟ ಮಡ ಧನಯವದಗಳ	Mixed feelings
ಜಐ ಜವನ ಜಐ ಹದ	not-Kannada
ದಸತ ಎಕಸಸಲಟ ವಡಯ ಗಡ ಓನ ವಡಯ	not-Kannada
ಅಕಬರ ಧನನರ ಬಯ ಜನ ಇನ	not-Kannada
ಸಪರ ಸಗ	not-Kannada
ಸಟನರॐ ವದಸ ಹಲ	unknown state
ಏತ ಸವ ಮಯರ ಇದ ನಕಸಮ ಅಲಲ ಅಸ ನಪಗಲಲ 1ಲನ ಬರದ 2ಙಡ ಲನ ಬರಬಕಡರ ಐಡ ಸಗ ಬರತತ	Positive
ವಲ ಸಯದ ಬರಯ	not-Kannada
ಹದ ಹಲಯ	Positive
ಸರ ರಜಕರನಗಲ ಟಪಪಲಲ ಸರ ಮಡ ಪಲಗ ನಮ ಯತಸ ಜಥ ಇದ ಹಡದತ ಮದ ಸಯತರಲಲ ತಪಪ ಸರ ಯವಕರ ಸರ ಹಲಲ ಸರ ಈರಥ ಪಲಟಸಧನಸಗ ಗತ ಸರ ನವ ಇಡಯನ ಹಗ ಅತ ನಮ ಕಚಡ ಬದದ ಬಟಟ ದಶದ ಬಗಗ ಯಎಯನ ಮಡಬಕ ವತಸಪಪ ಯನವರಸಟ ಬದಲ ಸಕಲ ಇಮಪರವಮಟ ಮಡಡ ನಡಬಕ	Positive
ಅಜನಶ ಕ ಮಯಸಕ ಕಚ ಹಟಕ ಹನ	not-Kannada
2ಕ ಡಸಲಕಸ ರಶಮಕ ಮದನನ ಫಸ	Negative
ಓ ಬಬ ಓನಸ ಅಗನ ಆಲಸ ಯರ	unknown state
ಯರಗ ಅರಥ ಅಗಲವ ಲರಕಸ ನದ	Negative
ಸಪರ ದಪರ ಮವ ಆಡ ಸಗ	Positive
ಟಕತಕ ನನ ಶತ	Negative
ನದ ಪರಥಸರಥ ನದನ ನದನ ನನ ಕಜಜ	Negative
ದಯ ಮತ ಅಧ ಚತರದ ಆತಮಗಲ ಯಕದರ	Positive
ಗರ ಇದನನ ಮಧಯಮದವರ ಸರ ಹಡದರ ದಶಯ ಹಕ ಗರ	Mixed feelings
ನವ ಸಷಪರ ಬಸ	Positive
ದರಶನ ಸರ ನವ ನಮಮ ಅಭಮನಗಳ ನಮಮ ಕಲವದರ ರತ ಕಷಟ ಪಡದ ನಮಗ ಮನಸಸಗ ತಬ ನವಗತತ ನವ ದಯವಟಟ ಇಥ ಮಹನ ಕಲವದರನನ ತಮಮ ಜತ ಕರದಕಡ ನಡಯರ ಅಭಮನ ಅಭಮನಗಳಗ ಕಡವ ದಡಡ ಉಡಗರ ನಮಮದ ನವ ಬಯಸತತವ	Positive
ನಕಸತರಕ ಕಸ ಪರಮಶನ ಚನನಗ ಇದರನ ಬರ ಲಗವಗ ಗ ಜಥ ಪರಓರಟ ಕಡತರನಮ ಸಟಟ ಲ ಕನನಡ ಮವ ಗ ಸಪಪರಟ ಮಡಲಲ ಡಸಟರಬಟರಸ	Negative
339 ರಷಭ ಶಟಟ	Mixed feelings
ಶರಮನ ನರಯಣ 300 ಕಟ ಅರಮಗ ಮಡತತ ಅನನವವರ ಲಕ ಮಡ	Positive
ಕಕಣ ಸರಯಗರಹಣದ ಸಮಯದಲಲ ಯರ ಯರ ಸಗತವನನ ಕಳತತರವದ ಇಷಟ ಮಡ	Positive
ನಮ ಸಗ ಅತ ಸಪರ	Positive
ಅಲ ಡಸಲಕ ಬಯ ರಶಮಕ ಫಸ	Negative
ಸಪರ ಜನಯರ ನರಯಣ	unknown state
ಇಮರನ ಸರ ಸಪರ ಕರಯಗರಫ	not-Kannada
ಚಲನಚತರಕಕಗ ಎಷಟ ಜನರ ಕಯತತದದರ ನಲಕ ಮದ ನದನ	Positive
ಅಲ ಕನನಡ ಫಸ ಹಯಡಸ ಉಪ ಟ ಅವನಶರಮಥ ನರಯಣ ಕಪ ರಕಗ ಮವ	Positive
ಕನನಡ ನಡ ಓನಲ	Positive
ನನ ಕಡ ಬಟಟಯಗ ನಡದನ ನನಗ ಒತರ ಮನಸಸಗ ನವ ಆಗತ ಇದ ನನ ಸನಮ ಗದದದ ಬಟ ದಡಡ ಬರಲಲಲ ಸನಮಗ	Negative
ಕರನ ಧಡ ಥಯಟರ ಅಲಲ ಸನಮ ನಡಕಕ ಆಗಲಲಲ ಮಗ ಮಥಹ ನದಥನ ಸನಮ ದರಕಷನ ಅದಬಥ ಮದಡಯ	Positive
ಯಸ ಬರ	unknown state
ಹ ಟ ಗಟ	not-Kannada
ಗರ ಇವರಗ ದಶದ ಅಭಮನ ಇಲಲ ಇವರಗ ವಡಯ ಮಡದ ಮಖಯ ಇವರಗ	Negative
ಬರ ಹ ಡಚಚ ಸ ಮಗ ಅರ ಸಪರ 1 ರಆಸಟರ	Negative
ಥಭ ಹಲ ಮಗ ಕತರ	Mixed feelings
ಪರಮಶನ ಆಡ ಬಟಟ ಮಕಡ ಎಲನ ಚನಗ ಮದವದರ	Negative
ಸಪರ ಸಪರ ಡ ಬಸ ಫಣ	Positive
ಸಪರ ಗಛ ಗಲ ಗಲ ಬಸ	Positive
ದಯ ರಲಸ ಮಡ	Positive
ಇದ ಚರತರ ಸಷಟಸ ಅವತರ	Positive
ಫಕ ಟಕ ಟಕರ	not-Kannada
ಐ ಆಮ ಬಗಗ ಫಣ ಪರಜವಲ ಸರ ಫಣ	not-Kannada
ಸಪರ ನಟಕ ಟಗರ ತಪಪ	Positive
ಕಥ ಚನನಗದ ಇದ ದಯವಟಟ ಕನನಡ ಚತರಗಳವ ಬಬಲ ಕಡ	Positive
ಅದಭತವದ ಹಡ	Positive
ಸಪರ ಬರ	not-Kannada
ಹಟಸ ಉಪ ರಕಷತ	Positive
ಟರಲ ಸತಪಡ ಫಸ ನನನಮ ತಲಲ ಊರ ಶದ ಅಲಲ ನನನಮನ ಮಡ	Negative
ಇದ ಪಕಕ ಶಕರ ನಗ ಸಟಲ ಟರಲರ ಅಷಟ ಸಗ ಅಷಟ ಸರ ಏನ ಇರಲ ಓಳಳದಗಲ ನಮಮ ಭಷ ನಮಮ ಹರಮ	Mixed feelings
ಕನನಡ ಸನಮ ರಗ ನಜಕಕ ಮಳಗತತರವ ದಣಯ	Negative
ಸಪರ ಸ ಉಪರ	not-Kannada
ಪರಜಲ ರಜ ನಜ ಬಗಲ ನನ ಕನನದಗ ಅಲವ	Mixed feelings
ಐ ಲವ ಉ ಸರ	not-Kannada
ರಜಶ0823 ಅಲಪ	unknown state
ಕಚಛ ವಠಠಲ ಲ ನಮಮ ಲಚಛನ ದಬಕ 3 ದಬಕತಲಲ ವಲಯನ	Negative
ಬಸ ಅಭಮನ ಕದಯದ	unknown state
ಹದ ಸಗ ಲಕ ಪಲಸ	unknown state
ಐ ತ ಅಗರ	not-Kannada
ನವ ಅದಬತ ಸಹತಯ ತಬ ಸಪರ	Positive
ಸಪರ ಬರ ನನ ಇದ ವರಗ ಟಕ ಟಕ ಆಪ ಇನಸಟಲ ಮಡ ಇಲಲ	Positive
ಕರವಳ ಶಟರ ಫಲಮಸ ಯಕ ಇಷಟದ ದಲಲ ಆಡ ಬರ ಹಡಸತತ ಗತಗತಲಲ ಕರಕ ಪರಟ	Negative
ನವ ಕಲಮಯಕಸ ನದಲಲ ಅದಕಕ ನಗ ಇಷಟ ಅಗಲಲ	Mixed feelings
ಥಕ ಸರ ಕಯಕವ ಕಲಸ ಜ ಬಸವ	Positive
ರಕಷತ ಶಟಟ ಗರಲ ಫರಡ	unknown state
ಜಐ ಬಸ	Positive
ಚನಡ ಗಣಶಕರ ಆಕಸ	unknown state
2020 ಸಪರ ಸಗ	not-Kannada
ಮಡದದರ ಅನನವದ ಕರಯಪದನಅದಕಕ ಕಳಗ ಯವ ರತ ಯಚನ ಮಡತನ ಮಲ ಅರಥ ಡಪಡ ಆಗತತನನಮಮ ಮನಸಸಲಲ ಇರವದನನ ಜನಕಕ ತಳಸದದ ನಮಮ	Negative
ರಜ ಪರತಯಕಷ ದವತ	Positive
ಲವ ಬಸ ಸಪರ	not-Kannada
ಹಯಡಸ ಉಪ ಸಪರ ಸಗ	not-Kannada
ಸಪರ ಅಗ ಉಗದಯ ಬರ ಕತತಗರ ಬವರಸಗಲಗ ಹಗ ವಡಯ ಮಡತ ಈರ ಸಪಪರಟ ಮಡತ ಇರತವ ಸಪರ	Negative
ಸ ನಸ ಬರ	not-Kannada
ರಜವಶದ ಅಭಮನಗಳದ ಶಭ ಹರಕಗಳ	Positive
ಸರ ಪಕಕ ನಯಸ ಏಧ ಪರರಧನ ಮಥರರ ಮಧ ನಟಬಕ ಅಶಟ ಸರ	Positive
ಕನನಡದಲಲ ಮಡ ಬದಲ ಹದನಲಲ ಮಡದರ ಸಪರಹತ ಅಗಧ	Negative
ಮದರ ಬದಕ ಅವಕಶ ಕಳದಳಳವ ಕಲವ ನಟರ ಮನಸಕ ಸಥಮತತ ಕಳದಕಡ ದರತ ಅತಯ ಕಣತರ ಮಡಕ ಸವರ ಕಲಸಗಳವ ಯವದ ಸಣಣಕಲಸವಲಲ ಇದನನ ಅರಥಸಕಡ ಹಮಮಯ ಬದಕ ಬದಕತರ ಮಹನಯರಗ ಅಭನದನ	Mixed feelings
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಜಟಲಮನ ತರಲರ ಕಸ ಕ ಪಸದ ಆಯ ಹಯನಮಜಯ ಬಹತ ಆಚ ಲಗ ಹ ನಪ ಕ	not-Kannada
ಸಮ ಸಡರಮ ನಮಮ ಮಜ ಕಮ ಗ ಇತತ	unknown state
ಐ ಲವ ವವ	Positive
ಬದ ಚನ ಬರಡ ಮಯ ಬ	Negative
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಪರಸದ ಹಗಡ ಎಲಲ ದಲಲ ಐಡ	unknown state
ಶವ ಪಟಲ	unknown state
ಲ ಬಲ ಮಕಲ ಟಕಟಕರಸನಸಲ ಗಲಲ ಇಡಯ ಎಕನಮ ಜಸಥ ಮದ ನನ ಚನ ಮದಥರ ನಬಲ ಮಕಲ ನಮ ಹಗ ಮಡಬಕ ಟಕಟಕರಸ ಙಚನ ಸಪನಸ ನನನಬಲ ಮಕಲಲ ಸಲ ಮಡ ಗಲನ	Negative
ಕಕ ಕಮರ ಎಟರ ಯನ ಸಏತರ ಯಲಲ ಫಕ	Negative
ಕನನಡ ಫಲಮ ಹಸಟರ ನಲಲಲ ಎರಡ ಕಲ ಘಟಟ ಇರತತ	unknown state
ತರಲರ ಅಲಟಮತ ಸನಮನ ಚನನಗರಬಹದ ಜಟಲ ಮಯನ ಚತರತಡಕಕ ಒಳಳಯದಗಲ ಪರಜವಲ ದವರಜ ಲಕ ಸಪರ	Positive
ಬಳಗಗಯದ ಕಳತ ಇದನ ಅದರನ ಕಳತನ ಇರಬಕ ಅನಸತತನ	Positive
ಫಸಟ ಬನ ಮದರ ಟಕತಕ ಅಗಟಲ ನದಕ ಇವರಗಲ ಅತನ	Negative
ಹತ ಮವಈ ಕನನಡ ಹತ ಮವ ಪಕಕ	Positive
ಸಈ ಕಮರ ಮಯ ಬ	unknown state
ಯಲರ ಮಬಲ ನಲಲ ನಡದರ ಥಟರ ಹಗ ನದರಪಆ ಪಲಜ	Mixed feelings
ದರ ಶಭ ಬಲಗರವರಗ ಥಬ ಧನಯವದಗಲ	Positive
ಏನ ಗರ ನನನ ಚರತರ ಸಷಟಸವ ಅವತರ ತಬ ಚನನಗ ಇದ ರಶಮಕಗ ತಬ ಉರಸ	Negative
ಥಯಟರ ಶ ಕಡಲಲ	Negative
ಇದ ಚರತರ ಸಸತಸ ಅವತರ	Positive
ಮದಲ ನನ ಟಕ ಟಕ ಡಲಟ ಮಡ ಗರ	Positive
ಲಕ ಶರ ಮದ	unknown state
ಗಳ ಮತನ ಬಜರ ಸದದಸರದ ಸಮರ ಕನನಡ ಚತರಕಕ ಪರತಸಹ ಕಡವವರ ಕನನಡ ಚತರಕಕ ಒದ ಘನ ಹಸರ ನಕನನಡ ಕನನಡ ನಇದ ಕನನಡಗರ ಸಷಟಸ ಅವತರ	Positive
ಸವಗ ಕ ಕಗ ರಕಷತ ಶಟ	not-Kannada
ನಕಸತ ಕಗಫ ಶರಮನನರಯಣ ಬಲಕಕ ಬಸಟರ	Positive
ಪಸಟಲ ಇಕಡ ಹಕ ಸಟಪ	Positive
ಇದ ಚರತರ ಶರಸತಸ ಅವತರ	Positive
ಯಸಟ ಸಲ ನಡದರ ಬಜರ ಅಗಲಲ	Positive
ಬಗಮ ರಲಸ ಮದ ಸರ	Positive
ಸಪರ ಸಗ ಸಪರ ಫಲಮ	not-Kannada
ಹದ ಉಪ ಬರ ಸಪರ ಅಗಡ ಬರ ನಮಮ ಕನನಡ ಮವ ಸಮನನ	Positive
ನಮ ಸಲವಗ ಕದಯಲ ಎಡಡ ಕಸತ ಪಡತರ ಆರಮ ದಆರ ಬಟ ಎರಗ ಟಕತಕ ಹಟದ ಋನಮ ಇಡಯ ಡಲ ಎಡರ ಇಡಯ ಜನ ಹಗ ಎರಲ ನನ ನಮ ಚನಗ ಮತದಯ ಅನನ ತಕ	Positive
ಇದ ಚರತರ ಸಷಟಸ ಅವತರ ನಅವನ ಶರಮನ ನರಯಣ	Positive
ಕಟನ 8 ಸಲ ಕಲಡ ಸಗ ಬಜರ ಅಗಲಲಲ ಚಡ ಸಗ ಆಡ ಮಯಸಕ	Positive
ಸಪರ ಜ ಬಸ	Positive
ಕರನಟಕ ಕ ಬದ ಕನನಡ ಮತದಡನ ಅನ ಗರ ಸಲಲ ಸಸಡ ಮಡಕ ಬಹದತತ ಅಲವ ಫಕ ನಯಸ	Negative
ನಗ ಎಡ ಫನನ ಅನಸಥ	Negative
ಮವ ಹದ ಮ ಕಬ ಟಕ ಕ ಹ	not-Kannada
ಲ ಗಯಸ ಡಸಲಕ ಮದಧರಲಲ ಎನ ಯಗರಪಪ ಸಗ ಮಡಬಕ ಅತ ಸವಲಪ ಹಲದರಪಪ	Negative
ಅಲ ಬಸಟ ಡಬಸ ದರಶನ ಫಸ ಕಡ ಎಡ	Positive
ಪಜರ ಅವನಶ ಬರ ಲಗವಗ ಮವಸ ಬಗಜರಸ ಥರ ನಡ ಕಚಡ ಜನಗಲ ಇರವರಗ ಕನನಡ ಮವಸ ಗ ಬಲ ಇರಲಲ ಬರ	Negative
ನದ ಪರಥಸರಥ ಎಷಟ ರಟ ಒದ ರತರ ಬ ಸಕ	Negative
ವಡಯ ಇದಯ ತಗರ ತಪಪ	Positive
ಗಣ ಮಲ ಹಯಡಸ ಉಪ ಅತ ಬರದಡ ಯಲಲ ಅತ ಹಲ ನಡನ	Positive
ಸಗ ಸಪರ ಮ ಲಘಗ ತಮಳ ಸಮ	not-Kannada
100 ಟಮಸ ಸಗ ಕಲಧ ಸಪರ	Positive
2019 ಉತತರ ಫಲಪ ಇನ ಸಡಲವಡ	Negative
ಕಚಚನ ಹವಳ ಓ ರವಊಸ ಚನನಗದದರ ಮವ ಒಡಲಲಲ ಯಕಪ ಓದರ ಲಮಗಆಗಲಲ	Negative
ಹಡಥ ಗರ ಸಗ	Positive
ಸಪರ ಬದ ಗ ತಕಕರ ಕಟಟದರ ಬರ	Positive
ಧ ಪ ನನ ಬಆಯಗ	Mixed feelings
ಸಪರ ಟಗರ ತಪಪ ಸಟರ	Positive
ಅಶವತ ಅವರನ ನದದಗ ಆಯತ	Positive
ಚದನ ಶಟಟ ಟರಲ ವಡಯ ನವ ನಡ ನಗಡಡ ನವ ಗಯರಟ	Positive
ಹದ ಆಲ	unknown state
ಫರಮ ಕಗ ಕಐಕಹಹಆ ಬಓಸಸ ಬದಶಹ ಫಸ ಅಲ ಬಸಟ	unknown state
